ID,unwing,wing,log2FoldChange,padj
Unigene5989_All,1296.8876800711,236.936881004418,2.15398079335204,0.0184993553651064
Unigene4940_All,1747.30436084174,670.725718658107,1.44281923539722,0.0185943215964799
CL2306.Contig4_All,168.800678208299,44.5315857266243,2.59112443417119,0.0187667431985246
CL1682.Contig2_All,464.146803803396,153.381552894529,2.06816275215613,0.0195248400691092
Unigene14533_All,84.32015860561,12.947014849799,2.87523251104948,0.0196875243677781
CL609.Contig2_All,404.753261351065,136.478334476436,1.58843007759448,0.0204181926501317
Unigene15039_All,9467.56043658227,4378.22175801633,2.01822485311819,0.0204181926501317
CL2866.Contig1_All,157.273905667005,44.6366660922229,1.86164723987556,0.020467963652826
CL947.Contig1_All,59.5479041269876,2.17094104325301,4.27613486700001,0.020467963652826
Unigene25370_All,48.3678540193446,3.95843004930793,4.34465029157554,0.021034753903812
Unigene11582_All,388.472746239899,96.1578169727593,1.87671262869108,0.0211422592872562
Unigene26079_All,86.1467523869698,2.69602201245683,4.16695568688292,0.0213792979669172
Unigene2036_All,10408.6606772135,16362.6176390849,2.94987787083796,0.0216162097544233
Unigene365_All,465.763459198719,115.40749422112,2.00747364907405,0.021749999445316
Unigene10271_All,112.48340278307,19.6515639981571,2.36900622835544,0.021859666896514
CL1680.Contig1_All,3151.25936496208,1257.56300681601,1.31549647680628,0.0227918644772174
CL1846.Contig1_All,516.717248732074,66.1471254611331,3.34282787587795,0.0231266690008647
CL2336.Contig2_All,2036.69183518879,737.233314963308,1.87547545441587,0.0231266690008647
Unigene26902_All,39.3023991658198,2.17094104325301,4.3965512024484,0.0231266690008647
Unigene8306_All,904.196937885354,137.126141325576,2.29694520995033,0.0231266690008647
Unigene9588_All,664.017919727212,345.846605272145,2.39467215394416,0.0231266690008647
Unigene13156_All,154.38248966504,29.0346693896559,2.54481065910718,0.0234962811731149
CL2306.Contig6_All,96.7433538031259,19.2040717550492,2.33780608513161,0.0238235307041582
CL1682.Contig1_All,343.092453923138,118.591907522606,1.89240397530284,0.0240387118676603
